Symbol,Name
SKHSY,"Sekisui House, Ltd."
NCBDF,BANDAI NAMCO Holdings Inc.
SMNNY,Shimano Inc.
NSANF,"Nissan Motor Co., Ltd."
RDY,Dr. Reddy's Laboratories Limited
NSANY,"Nissan Motor Co., Ltd."
NCBDY,BANDAI NAMCO Holdings Inc.
JPXGY,"Japan Exchange Group, Inc."
SOMLY,"SECOM CO., LTD."
SOMLF,"SECOM CO., LTD."
KAIKY,"Kawasaki Kisen Kaisha, Ltd."
SMTOY,"Sumitomo Electric Industries, Ltd."
BCH,Banco de Chile
PTAIY,PT Astra International Tbk
MSLOY,"Mitsui O.S.K. Lines, Ltd."
KIKOF,Kikkoman Corporation
NCLTY,"Nitori Holdings Co., Ltd."
ESALF,"Eisai Co., Ltd."
OBIIF,"OBIC Co.,Ltd."
RKUNY,"Rakuten Group, Inc."
SSDOY,"Shiseido Company, Limited"
YPF,YPF Sociedad Anónima
ESAIY,"Eisai Co., Ltd."
NDEKY,Nitto Denko Corporation
NDEKF,Nitto Denko Corporation
DSEEY,Daiwa Securities Group Inc.
SGIOY,"Shionogi & Co., Ltd."
STBFY,Suntory Beverage & Food Limited
PTBRY,PT Bank Negara Indonesia (Persero) Tbk
KNBWF,"Kirin Holdings Company, Limited"
KNBWY,"Kirin Holdings Company, Limited"
ISUZY,Isuzu Motors Limited
NATKY,JSC National Atomic Company Kazatomprom
TDHOY,"T&D Holdings, Inc."
VFS,VinFast Auto Ltd.
SSMXY,Sysmex Corporation
YASKY,YASKAWA Electric Corporation
OCLCF,Oracle Corporation Japan
IDKOF,"Idemitsu Kosan Co.,Ltd."
KYKOF,"Kyowa Kirin Co., Ltd."
KEP,Korea Electric Power Corporation
YMHAY,"Yamaha Motor Co., Ltd."
ALNPY,ANA Holdings Inc.
ASEKY,Aisin Corporation
YAMHF,"Yamaha Motor Co., Ltd."
JFEEF,"JFE Holdings, Inc."
WJRYY,West Japan Railway Company
AHKSY,Asahi Kasei Corporation
BSAC,Banco Santander-Chile
DINRF,"SCREEN Holdings Co., Ltd."
CIB,Bancolombia S.A.
SMMYY,"Sumitomo Metal Mining Co., Ltd."
KAJMY,Kajima Corporation
FELTY,"Fuji Electric Co., Ltd."
DNPLY,"Dai Nippon Printing Co., Ltd."
CCOEY,"Capcom Co., Ltd."
WF,Woori Financial Group Inc.
MTLHY,Mitsubishi Chemical Group Corporation
SKM,"SK Telecom Co., Ltd."
SRTTY,"ZOZO, Inc."
MKTAY,Makita Corporation
TRYIY,"Toray Industries, Inc."
MKEWF,Makita Corporation
NFPDF,"Nissin Foods Holdings Co.,Ltd."
KAJMF,Kajima Corporation
ASGLY,AGC Inc.
TISCY,Taisei Corporation
OMRNY,OMRON Corporation
DIFTY,"Daito Trust Construction Co.,Ltd."
JAPSY,"Japan Airlines Co., Ltd."
KWHIF,"Kawasaki Heavy Industries, Ltd."
DFKCY,"Daifuku Co., Ltd."
GGAL,Grupo Financiero Galicia S.A.
KT,KT Corporation
KWHIY,"Kawasaki Heavy Industries, Ltd."
OPHLY,"Ono Pharmaceutical Co., Ltd."
DNTUY,Dentsu Group Inc.
MGYOY,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság
MTHRY,"M3, Inc."
OPHLF,"Ono Pharmaceutical Co., Ltd."
PUTKY,PT United Tractors Tbk
BMA,Banco Macro S.A.
LPL,"LG Display Co., Ltd."
PTKFY,PT Kalbe Farma Tbk.
ENIC,Enel Chile S.A.
TGS,Transportadora de Gas del Sur S.A.
PIFMY,PT Indofood Sukses Makmur Tbk
PAM,Pampa Energía S.A.
TEO,Telecom Argentina S.A.
BBAR,Banco BBVA Argentina S.A.
AKO-B,Embotelladora Andina S.A.
CMTOY,Cementos Argos S.A.
AVAL,Grupo Aval Acciones y Valores S.A.
AKO-A,Embotelladora Andina S.A.
GDNGY,PT Gudang Garam Tbk
CCU,Compañía Cervecerías Unidas S.A.
CEPU,Central Puerto S.A.
PTXKY,PT XL Axiata Tbk
TBNGY,PT Bukit Asam Tbk
EXTO,Almacenes Éxito S.A.
AAGRY,PT Astra Agro Lestari Tbk
INDFY,Indofood Agri Resources Ltd.
VFSWW,VinFast Auto Ltd.
NPXYY,NIPPON SANSO HOLDINGS CORPORATI
MINBY,MINEBEA MITSUMI Inc.
