Fund Ticker,Security Identifier,Symbol,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,88339J105,TTD ,"8,582,005","834,857,446.40",0.289,Trade Desk Inc/The,Common Stock,Communication Services,06/20/2024
QQQ,25809K105,DASH ,"7,257,346","799,832,102.66",0.277,DoorDash Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,16119P108,CHTR ,"2,800,488","795,338,592.00",0.276,Charter Communications Inc,Common Stock,Communication Services,06/20/2024
QQQ,45168D104,IDXX ,"1,602,137","794,595,866.52",0.275,IDEXX Laboratories Inc,Common Stock,Health Care,06/20/2024
QQQ,500754106,KHC ,"23,393,626","763,567,952.64",0.265,Kraft Heinz Co/The,Common Stock,Consumer Staples,06/20/2024
QQQ,92345Y106,VRSK ,"2,765,063","741,285,739.67",0.257,Verisk Analytics Inc,Common Stock,Industrials,06/20/2024
QQQ,679580100,ODFL ,"4,197,878","733,159,392.70",0.254,Old Dominion Freight Line Inc,Common Stock,Industrials,06/20/2024
QQQ,550021109,LULU ,"2,334,649","725,538,869.73",0.251,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,311900104,FAST ,"11,035,064","718,603,367.68",0.249,Fastenal Co,Common Stock,Industrials,06/20/2024
QQQ,285512109,EA ,"5,155,488","710,684,020.80",0.246,Electronic Arts Inc,Common Stock,Communication Services,06/20/2024
QQQ,36266G107,GEHC ,"8,781,063","697,567,644.72",0.242,GE HealthCare Technologies Inc,Common Stock,Health Care,06/20/2024
QQQ,23804L103,DDOG ,"5,906,768","685,657,629.44",0.238,Datadog Inc,Common Stock,Information Technology,06/20/2024
QQQ,30161N101,EXC ,"19,275,207","673,475,732.58",0.233,Exelon Corp,Common Stock,Utilities,06/20/2024
QQQ,25278X109,FANG ,"3,441,406","663,262,178.38",0.23,Diamondback Energy Inc,Common Stock,Energy,06/20/2024
QQQ,192446102,CTSH ,"9,600,221","654,159,058.94",0.227,Cognizant Technology Solutions Corp,Common Stock,Information Technology,06/20/2024
QQQ,G25839104,CCEP ,"8,808,985","646,315,229.45",0.224,Coca-Cola Europacific Partners PLC,Common Stock,Consumer Staples,06/20/2024
QQQ,05722G100,BKR ,"19,301,019","636,354,596.43",0.221,Baker Hughes Co,Common Stock,Energy,06/20/2024
QQQ,09062X103,BIIB ,"2,802,981","632,296,453.98",0.219,Biogen Inc,Common Stock,Health Care,06/20/2024
QQQ,12514G108,CDW ,"2,588,461","600,341,759.73",0.208,CDW Corp/DE,Common Stock,Information Technology,06/20/2024
QQQ,22160N109,CSGP ,"7,875,929","575,494,132.03",0.199,CoStar Group Inc,Common Stock,Real Estate,06/20/2024
QQQ,98389B100,XEL ,"10,705,510","573,065,950.30",0.199,Xcel Energy Inc,Common Stock,Utilities,06/20/2024
QQQ,682189105,ON ,"8,240,565","557,309,410.95",0.193,ON Semiconductor Corp,Common Stock,Information Technology,06/20/2024
QQQ,03662Q105,ANSS ,"1,678,195","546,554,547.60",0.189,ANSYS Inc,Common Stock,Information Technology,06/20/2024
QQQ,G39387108,GFS ,"10,560,381","538,685,034.81",0.187,GLOBALFOUNDRIES Inc,Common Stock,Information Technology,06/20/2024
QQQ,98980G102,ZS ,"2,860,428","510,815,232.24",0.177,Zscaler Inc,Common Stock,Information Technology,06/20/2024
QQQ,874054109,TTWO ,"3,289,627","509,826,392.46",0.177,Take-Two Interactive Software Inc,Common Stock,Communication Services,06/20/2024
QQQ,49468101,TEAM ,"3,029,899","477,269,690.48",0.165,Atlassian Corp,Common Stock,Information Technology,06/20/2024
QQQ,256746108,DLTR ,"4,201,518","451,999,306.44",0.157,Dollar Tree Inc,Common Stock,Consumer Staples,06/20/2024
QQQ,452327109,ILMN ,"3,064,140","331,693,155.00",0.115,Illumina Inc,Common Stock,Health Care,06/20/2024
QQQ,934423104,WBD ,"47,047,462","331,214,132.48",0.115,Warner Bros Discovery Inc,Common Stock,Communication Services,06/20/2024
QQQ,60937P106,MDB ,"1,394,567","307,432,295.15",0.107,MongoDB Inc,Common Stock,Information Technology,06/20/2024
QQQ,931427108,WBA ,"16,630,294","263,922,765.78",0.091,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,06/20/2024
QQQ,82968B103,SIRI ,"74,098,476","214,885,580.40",0.074,Sirius XM Holdings Inc,Common Stock,Communication Services,06/20/2024
