ID,Company Name,Exchange,Symbol,,,
232,"Verisk Analytics, Inc.",NASDAQ:,VRSK,,,
236,Corning Incorporated,NYSE:,GLW,,,
219,"Cencora, Inc.",NYSE:,COR,,,
234,Ge Healthcare Technologies Inc.,NASDAQ:,GEHC,,,
233,The Kroger Co.,NYSE:,KR,,,
216,"Fidelity National Information Services, Inc.",NYSE:,FIS,,,
227,Kenvue Inc.,NYSE:,KVUE,,,
218,Agilent Technologies Inc.,NYSE:,A,,,
222,Hess Corporation,NYSE:,HES,,,
224,"L3harris Technologies, Inc.",NYSE:,LHX,,,
213,"Axon Enterprise, Inc.",NASDAQ:,AXON,,,
229,Ford Motor Company,NYSE:,F,,,
214,"Corteva, Inc.",NYSE:,CTVA,,,
212,D.R. Horton Inc.,NYSE:,DHI,,,
223,"Ametek, Inc.",NYSE:,AME,,,
246,"United Airlines Holdings, Inc.",NASDAQ:,UAL,,,
256,Charter Comm Inc Del Cl a,NASDAQ:,CHTR,,,
239,Pg&e Corporation,NYSE:,PCG,,,
241,Sysco Corporation,NYSE:,SYY,,,
263,"General Mills, Inc.",NYSE:,GIS,,,
243,Vulcan Materials Company,NYSE:,VMC,,,
248,Entergy Corporation,NYSE:,ETR,,,
250,"Yum! Brands, Inc.",NYSE:,YUM,,,
247,Resmed Inc.,NYSE:,RMD,,,
254,Humana Inc.,NYSE:,HUM,,,
245,Keurig Dr Pepper Inc.,NASDAQ:,KDP,,,
253,Idexx Laboratories Inc,NASDAQ:,IDXX,,,
252,Monster Beverage Corporation,NASDAQ:,MNST,,,
261,Martin Marietta Materials,NYSE:,MLM,,,
238,Otis Worldwide Corporation,NYSE:,OTIS,,,
251,Wabtec Inc.,NYSE:,WAB,,,
255,Iqvia Holdings Inc.,NYSE:,IQV,,,
262,Garmin Ltd,NYSE:,GRMN,,,
258,Lennar Corporation Class A,NYSE:,LEN,,,
242,Arch Capital Group Ltd,NASDAQ:,ACGL,,,
244,Old Dominion Freight Line,NASDAQ:,ODFL,,,
259,Dell Technologies Inc.,NYSE:,DELL,,,
240,Ingersoll Rand Inc.,NYSE:,IR,,,
249,Occidental Petroleum Corporation,NYSE:,OXY,,,
260,"Diamondback Energy, Inc.",NASDAQ:,FANG,,,
257,Electronic Arts Inc,NASDAQ:,EA,,,
298,State Street Corporation,NYSE:,STT,,,
294,"Constellation Brands, Inc.",NYSE:,STZ,,,
283,Vici Properties Inc.,NYSE:,VICI,,,
265,M&t Bank Corp.,NYSE:,MTB,,,
291,Fifth Third Bancorp,NASDAQ:,FITB,,,
289,Costar Group Inc,NASDAQ:,CSGP,,,
264,"Dexcom, Inc.",NASDAQ:,DXCM,,,
280,"Wec Energy Group, Inc.",NYSE:,WEC,,,
285,"Raymond James Financial, Inc.",NYSE:,RJF,,,
272,Willis Towers Watson Public Limited Companys,NASDAQ:,WTW,,,
267,"Equifax, Incorporated",NYSE:,EFX,,,
282,"Avalonbay Communities, Inc.",NYSE:,AVB,,,
297,Tractor Supply Co,NASDAQ:,TSCO,,,
274,"Extra Space Storage, Inc.",NYSE:,EXR,,,
273,Iron Mountain Inc.,NYSE:,IRM,,,
266,"Nasdaq, Inc.",NASDAQ:,NDAQ,,,
276,Ebay Inc,NASDAQ:,EBAY,,,
292,Nucor Corporation,NYSE:,NUE,,,
269,"The Hartford Financial Services Group, Inc.",NYSE:,HIG,,,
288,Take-Two Interactive Software Inc,NASDAQ:,TTWO,,,
299,Godaddy Inc,NYSE:,GDDY,,,
277,Eqt Corp,NYSE:,EQT,,,
296,Dow Inc.,NYSE:,DOW,,,
268,"Consolidated Edison, Inc.",NYSE:,ED,,,
290,Hewlett Packard Enterprise Company,NYSE:,HPE,,,
286,"Cardinal Health, Inc.",NYSE:,CAH,,,
293,Xylem Inc,NYSE:,XYL,,,
295,"Keysight Technologies, Inc.",NYSE:,KEYS,,,
271,"Rockwell Automation, Inc.",NYSE:,ROK,,,
284,Ansys Inc,NASDAQ:,ANSS,,,
278,Centene Corporation,NYSE:,CNC,,,
275,Deckers Outdoor Corp,NYSE:,DECK,,,
270,"Dupont De Nemours, Inc.",NYSE:,DD,,,
279,Hp Inc.,NYSE:,HPQ,,,
287,"Monolithic Power Systems, Inc.",NASDAQ:,MPWR,,,
281,Microchip Technology Inc,NASDAQ:,MCHP,,,
324,"Ventas, Inc.",NYSE:,VTR,,,
323,Huntington Bancshares Inc,NASDAQ:,HBAN,,,
330,Edison International,NYSE:,EIX,,,
301,"Global Payments, Inc.",NYSE:,GPN,,,
313,"Corpay, Inc.",NYSE:,CPAY,,,
333,Equity Residential,NYSE:,EQR,,,
317,T Rowe Price Group Inc,NASDAQ:,TROW,,,
328,"West Pharmaceutical Services, Inc.",NYSE:,WST,,,
312,The Kraft Heinz Company,NASDAQ:,KHC,,,
319,Ameren Corporation,NYSE:,AEE,,,
310,Smurfit Westrock Plc,NYSE:,SW,,,
329,"Tyler Technologies, Inc.",NYSE:,TYL,,,
326,Ppl Corporation,NYSE:,PPL,,,
320,"Brown & Brown, Inc.",NYSE:,BRO,,,
302,Fortive Corporation,NYSE:,FTV,,,
304,Broadridge Financial Solutions Inc,NYSE:,BR,,,
334,Hubbell Incorporated,NYSE:,HUBB,,,
325,"American Water Works Company, Inc",NYSE:,AWK,,,
305,Carnival Corporation,NYSE:,CCL,,,
307,Dover Corporation,NYSE:,DOV,,,
300,"Ppg Industries, Inc.",NYSE:,PPG,,,
311,"Church & Dwight Co., Inc.",NYSE:,CHD,,,
331,"Pultegroup, Inc.",NYSE:,PHM,,,
327,Archer Daniels Midland Company,NYSE:,ADM,,,
314,"Nvr, Inc.",NYSE:,NVR,,,
315,Dte Energy Company,NYSE:,DTE,,,
306,Synchrony Financial,NYSE:,SYF,,,
309,Halliburton Company,NYSE:,HAL,,,
332,Waters Corp,NYSE:,WAT,,,
321,"Netapp, Inc",NASDAQ:,NTAP,,,
303,Mettler-Toledo International,NYSE:,MTD,,,
318,Cdw Corporation,NASDAQ:,CDW,,,
316,Veralto Corporation,NYSE:,VLTO,,,
322,Devon Energy Corporation,NYSE:,DVN,,,
308,Texas Pacific Land Corporation,NYSE:,TPL,,,
335,On Semiconductor Corp,NASDAQ:,ON,,,
336,"Expedia Group, Inc.",NASDAQ:,EXPE,,,
385,Keycorp,NYSE:,KEY,,,
378,"The Cooper Companies, Inc.",NASDAQ:,COO,,,
384,The Estee Lauder Companies Inc. Class A,NYSE:,EL,,,
373,International Paper Co.,NYSE:,IP,,,
357,Northern Trust Corp,NASDAQ:,NTRS,,,
358,"Nrg Energy, Inc.",NYSE:,NRG,,,
371,Labcorp Holdings Inc.,NYSE:,LH,,,
388,Steel Dynamics Inc,NASDAQ:,STLD,,,
380,Jabil Inc.,NYSE:,JBL,,,
367,Biogen Inc.,NASDAQ:,BIIB,,,
365,Seagate Technology Holdings Plcs,NASDAQ:,STX,,,
344,Regions Financial Corp.,NYSE:,RF,,,
360,"Citizens Financial Group, Inc.",NYSE:,CFG,,,
346,Weyerhaeuser Company,NYSE:,WY,,,
343,Cincinnati Financial Corp,NASDAQ:,CINF,,,
379,"Mccormick & Company, Incorporated Non-Vtg Cs",NYSE:,MKC,,,
352,Live Nation Entertainment Inc.,NYSE:,LYV,,,
387,Invitation Homes Inc.,NYSE:,INVH,,,
389,Nisource Inc.,NYSE:,NI,,,
377,"Builders Firstsource, Inc.",NYSE:,BLDR,,,
351,"Darden Restaurants, Inc.",NYSE:,DRI,,,
386,W.R. Berkley Corporation,NYSE:,WRB,,,
355,Packaging Corp of America,NYSE:,PKG,,,
370,Lyondellbasell Industries N.v. Class A,NYSE:,LYB,,,
348,"Zimmer Biomet Holdings, Inc.",NYSE:,ZBH,,,
337,The Hershey Company,NYSE:,HSY,,,
383,"Essex Property Trust, Inc",NYSE:,ESS,,,
374,Insulet Corporation,NASDAQ:,PODD,,,
366,Firstenergy Corp.,NYSE:,FE,,,
375,Southwest Airlines Co.,NYSE:,LUV,,,
381,Trimble Inc.,NASDAQ:,TRMB,,,
350,International Flavors & Fragrances Inc.,NYSE:,IFF,,,
339,"Ptc, Inc",NASDAQ:,PTC,,,
345,Kellanova,NYSE:,K,,,
369,Cms Energy Corporation,NYSE:,CMS,,,
361,Lennox International Inc.,NYSE:,LII,,,
338,Atmos Energy Corporation,NYSE:,ATO,,,
362,Steris Plc,NYSE:,STE,,,
353,"Warner Bros. Discovery, Inc. Series a",NASDAQ:,WBD,,,
341,Western Digital Corp.,NASDAQ:,WDC,,,
376,"Ulta Beauty, Inc.",NASDAQ:,ULTA,,,
349,Coterra Energy Inc.,NYSE:,CTRA,,,
347,Sba Communications Corp,NASDAQ:,SBAC,,,
342,Teledyne Technologies Incorporated,NYSE:,TDY,,,
356,Eversource Energy,NYSE:,ES,,,
372,Clorox Company,NYSE:,CLX,,,
368,"Cboe Global Markets, Inc.",BATS:,CBOE,,,
382,Snap-on Incorporated,NYSE:,SNA,,,
359,Zebra Technologies Corporation,NASDAQ:,ZBRA,,,
340,"Teradyne, Inc.",NASDAQ:,TER,,,
354,"Centerpoint Energy, Inc.",NYSE:,CNP,,,
363,"Leidos Holdings, Inc.",NYSE:,LDOS,,,
364,"First Solar, Inc.",NASDAQ:,FSLR,,,
397,Quest Diagnostics Inc.,NYSE:,DGX,,,
437,"Epam Systems, Inc.",NYSE:,EPAM,,,
432,Akamai Technologies Inc,NASDAQ:,AKAM,,,
390,"Mid-America Apartment Communities, Inc.",NYSE:,MAA,,,
409,"Alexandria Real Estate Equities, Inc.",NYSE:,ARE,,,
400,"Tapestry, Inc.",NYSE:,TPR,,,
392,Verisign Inc,NASDAQ:,VRSN,,,
414,"Super Micro Computer, Inc.",NASDAQ:,SMCI,,,
411,Loews Corporation,NYSE:,L,,,
413,"Everest Group, Ltd.",NYSE:,EG,,,
425,Dollar Tree Inc.,NASDAQ:,DLTR,,,
404,Hologic Inc,NASDAQ:,HOLX,,,
420,Kimco Realty Corp.,NYSE:,KIM,,,
427,"Healthpeak Properties, Inc.",NYSE:,DOC,,,
426,"Evergy, Inc.",NASDAQ:,EVRG,,,
407,"Tyson Foods, Inc.",NYSE:,TSN,,,
436,"Stanley Black & Decker, Inc.",NYSE:,SWK,,,
398,Masco Corporation,NYSE:,MAS,,,
419,Dollar General Corp.,NYSE:,DG,,,
434,Viatris Inc.,NASDAQ:,VTRS,,,
422,Gen Digital Inc.,NASDAQ:,GEN,,,
412,Alliant Energy Corporation,NASDAQ:,LNT,,,
391,Factset Research Systems,NYSE:,FDS,,,
399,Omnicom Group Inc.,NYSE:,OMC,,,
418,"F5, Inc.",NASDAQ:,FFIV,,,
428,"Revvity, Inc.",NYSE:,RVTY,,,
415,Las Vegas Sands Corp.,NYSE:,LVS,,,
405,Ball Corporation,NYSE:,BALL,,,
394,"Principal Financial Group, Inc.",NASDAQ:,PFG,,,
406,"Best Buy Company, Inc.",NYSE:,BBY,,,
430,Amcor Plcs,NYSE:,AMCR,,,
431,Jb Hunt Transport Services Inc,NASDAQ:,JBHT,,,
393,Jacobs Solutions Inc.,NYSE:,J,,,
403,"Molina Healthcare, Inc.",NYSE:,MOH,,,
408,Baxter International Inc.,NYSE:,BAX,,,
433,"Rollins, Inc.",NYSE:,ROL,,,
424,"Textron, Inc.",NYSE:,TXT,,,
417,Avery Dennison Corp.,NYSE:,AVY,,,
395,Pentair Plc,NYSE:,PNR,,,
429,Aptiv Plc,NYSE:,APTV,,,
401,Genuine Parts Company,NYSE:,GPC,,,
416,"Expeditors International of Washington, Inc.",NYSE:,EXPD,,,
402,Idex Corporation,NYSE:,IEX,,,
435,Pool Corporation,NASDAQ:,POOL,,,
410,Align Technology Inc,NASDAQ:,ALGN,,,
421,Skyworks Solutions Inc,NASDAQ:,SWKS,,,
423,Domino's Pizza Inc.,NASDAQ:,DPZ,,,
396,"Cf Industries Holding, Inc.",NYSE:,CF,,,
460,"Bxp, Inc.",NYSE:,BXP,,,
471,Molson Coors Beverage Company Class B,NYSE:,TAP,,,
485,"Match Group, Inc",NASDAQ:,MTCH,,,
441,"Conagra Brands, Inc.",NYSE:,CAG,,,
443,"C.H. Robinson Worldwide, Inc.",NASDAQ:,CHRW,,,
455,"Dayforce, Inc.",NYSE:,DAY,,,
472,Generac Holdings Inc,NYSE:,GNRC,,,
444,Camden Property Trust,NYSE:,CPT,,,
464,"Paycom Software, Inc.",NYSE:,PAYC,,,
487,Federal Realty Investment Trust,NYSE:,FRT,,,
462,News Corporation Class A,NASDAQ:,NWSA,,,
458,"Assurant, Inc.",NYSE:,AIZ,,,
491,The Campbell's Company,NASDAQ:,CPB,,,
449,Regency Centers Corporation,NASDAQ:,REG,,,
456,The J.M. Smucker Company,NYSE:,SJM,,,
490,Invesco Ltd,NYSE:,IVZ,,,
468,Globe Life Inc.,NYSE:,GL,,,
463,"The Interpublic Group of Companies, Inc.",NYSE:,IPG,,,
481,Aes Corporation,NYSE:,AES,,,
440,"Udr, Inc.",NYSE:,UDR,,,
465,Solventum Corporation,NYSE:,SOLV,,,
469,Pinnacle West Capital Corporation,NYSE:,PNW,,,
461,Fox Corporation Class A,NASDAQ:,FOXA,,,
442,Carmax Inc.,NYSE:,KMX,,,
466,Erie Indemnity Co,NASDAQ:,ERIE,,,
489,Wynn Resorts Ltd,NASDAQ:,WYNN,,,
488,Celanese Corporation,NYSE:,CE,,,
438,Juniper Networks Inc,NYSE:,JNPR,,,
452,Incyte Genomics Inc,NASDAQ:,INCY,,,
445,Bio-Techne Corp.,NASDAQ:,TECH,,,
475,"Walgreens Boots Alliance, Inc",NASDAQ:,WBA,,,
476,Hormel Foods Corporation,NYSE:,HRL,,,
439,Henry (Jack) & Associates,NASDAQ:,JKHY,,,
473,Henry Schein Inc,NASDAQ:,HSIC,,,
478,"Enphase Energy, Inc.",NASDAQ:,ENPH,,,
470,Ralph Lauren Corporation,NYSE:,RL,,,
482,Teleflex Incorporated,NYSE:,TFX,,,
447,"Host Hotels & Resorts, Inc.",NASDAQ:,HST,,,
483,"Charles River Laboratories International, Inc.",NYSE:,CRL,,,
474,Apa Corporation,NASDAQ:,APA,,,
450,Allegion Public Limited Company,NYSE:,ALLE,,,
459,Eastman Chemical Company,NYSE:,EMN,,,
486,"Huntington Ingalls Industries, Inc.",NYSE:,HII,,,
467,Lkq Corporation,NASDAQ:,LKQ,,,
480,A.O. Smith Corporation,NYSE:,AOS,,,
484,Marketaxess Holdings Inc.,NASDAQ:,MKTX,,,
479,"Lamb Weston Holdings, Inc.",NYSE:,LW,,,
453,Albemarle Corporation,NYSE:,ALB,,,
448,Nordson Corp,NASDAQ:,NDSN,,,
451,"Moderna, Inc.",NASDAQ:,MRNA,,,
446,Norwegian Cruise Line Holdings Ltd.s,NYSE:,NCLH,,,
454,Bunge Global Sa,NYSE:,BG,,,
477,The Mosaic Company,NYSE:,MOS,,,
457,"Universal Health Services, Inc. Class B",NYSE:,UHS,,,
495,"Caesars Entertainment, Inc.",NASDAQ:,CZR,,,
499,Brown-Forman Corporation Class B,NYSE:,BF-B,,,
501,"Franklin Resources, Inc.",NYSE:,BEN,,,
503,News Corporation Class B,NASDAQ:,NWS,,,
496,Borgwarner Inc.,NYSE:,BWA,,,
502,Fox Corporation Class B,NASDAQ:,FOX,,,
500,Paramount Global Class B,NASDAQ:,PARA,,,
492,"Hasbro, Inc.",NASDAQ:,HAS,,,
493,Davita Inc.,NYSE:,DVA,,,
494,Mgm Resorts International,NYSE:,MGM,,,
498,Fmc Corporation,NYSE:,FMC,,,
497,"Mohawk Industries, Inc.",NYSE:,MHK,,,
